,Zone,Period,Pickup occurences,Delivery occurences,Pickup distribution,Delivery distribution
0,1,Morning,"{""0"": 342, ""1"": 17, ""2"": 6}","{""0"": 304, ""1"": 56, ""2"": 5}","[0.937, 0.047, 0.016]","[0.833, 0.153, 0.014]"
1,1,Day,"{""0"": 326, ""1"": 33, ""2"": 4, ""3"": 2}","{""0"": 321, ""1"": 40, ""2"": 4}","[0.893, 0.09, 0.011, 0.005]","[0.879, 0.11, 0.011]"
2,1,Evening,"{""0"": 274, ""1"": 68, ""2"": 22, ""3"": 1}","{""0"": 294, ""1"": 63, ""2"": 6, ""3"": 1, ""4"": 1}","[0.751, 0.186, 0.06, 0.003]","[0.805, 0.173, 0.016, 0.003, 0.003]"
3,2,Morning,"{""0"": 342, ""1"": 19, ""2"": 4}","{""0"": 335, ""1"": 28, ""2"": 2}","[0.937, 0.052, 0.011]","[0.918, 0.077, 0.005]"
4,2,Day,"{""0"": 324, ""1"": 35, ""2"": 5, ""3"": 1}","{""0"": 319, ""1"": 38, ""2"": 7, ""3"": 1}","[0.888, 0.096, 0.014, 0.003]","[0.874, 0.104, 0.019, 0.003]"
5,2,Evening,"{""0"": 295, ""1"": 59, ""2"": 10, ""3"": 1}","{""0"": 295, ""1"": 57, ""2"": 12, ""3"": 1}","[0.808, 0.162, 0.027, 0.003]","[0.808, 0.156, 0.033, 0.003]"
6,3,Morning,"{""0"": 335, ""1"": 28, ""2"": 1, ""3"": 1}","{""0"": 349, ""1"": 14, ""2"": 2}","[0.918, 0.077, 0.003, 0.003]","[0.956, 0.038, 0.005]"
7,3,Day,"{""0"": 311, ""1"": 43, ""2"": 10, ""4"": 1, ""3"": 0}","{""0"": 294, ""1"": 50, ""2"": 11, ""3"": 8, ""4"": 1, ""7"": 1, ""5"": 0, ""6"": 0}","[0.852, 0.118, 0.027, 0.0, 0.003]","[0.805, 0.137, 0.03, 0.022, 0.003, 0.0, 0.0, 0.003]"
8,3,Evening,"{""0"": 295, ""1"": 46, ""2"": 17, ""3"": 5, ""4"": 2}","{""0"": 279, ""1"": 71, ""2"": 12, ""3"": 2, ""4"": 1}","[0.808, 0.126, 0.047, 0.014, 0.005]","[0.764, 0.195, 0.033, 0.005, 0.003]"
9,4,Morning,"{""0"": 325, ""1"": 33, ""2"": 7}","{""0"": 303, ""1"": 57, ""2"": 5}","[0.89, 0.09, 0.019]","[0.83, 0.156, 0.014]"
