,Zone,Period,Pickup occurences,Delivery occurences,Pickup distribution,Delivery distribution
0,1,0,"{""0"": 362, ""1"": 3}","{""0"": 362, ""1"": 3}","[0.992, 0.008]","[0.992, 0.008]"
1,1,1,"{""0"": 362, ""1"": 3}","{""0"": 360, ""1"": 4, ""2"": 1}","[0.992, 0.008]","[0.986, 0.011, 0.003]"
2,1,2,"{""0"": 363, ""1"": 2}","{""0"": 361, ""1"": 3, ""2"": 1}","[0.995, 0.005]","[0.989, 0.008, 0.003]"
3,1,3,"{""0"": 364, ""1"": 1}","{""0"": 364, ""1"": 1}","[0.997, 0.003]","[0.997, 0.003]"
4,1,4,"{""0"": 365}","{""0"": 364, ""1"": 1}",[1.0],"[0.997, 0.003]"
5,1,5,"{""0"": 356, ""1"": 8, ""2"": 1}","{""0"": 362, ""1"": 3}","[0.975, 0.022, 0.003]","[0.992, 0.008]"
6,1,6,"{""0"": 348, ""1"": 14, ""2"": 3}","{""0"": 346, ""1"": 19}","[0.953, 0.038, 0.008]","[0.948, 0.052]"
7,1,7,"{""0"": 352, ""1"": 11, ""2"": 2}","{""0"": 324, ""1"": 40, ""2"": 1}","[0.964, 0.03, 0.005]","[0.888, 0.11, 0.003]"
8,1,8,"{""0"": 357, ""1"": 7, ""2"": 1}","{""0"": 322, ""1"": 39, ""2"": 4}","[0.978, 0.019, 0.003]","[0.882, 0.107, 0.011]"
9,1,9,"{""0"": 354, ""1"": 11}","{""0"": 336, ""1"": 25, ""2"": 4}","[0.97, 0.03]","[0.921, 0.068, 0.011]"
10,1,10,"{""0"": 352, ""1"": 12, ""2"": 1}","{""0"": 349, ""1"": 15, ""2"": 1}","[0.964, 0.033, 0.003]","[0.956, 0.041, 0.003]"
11,1,11,"{""0"": 355, ""1"": 10}","{""0"": 350, ""1"": 14, ""2"": 1}","[0.973, 0.027]","[0.959, 0.038, 0.003]"
12,1,12,"{""0"": 349, ""1"": 14, ""2"": 2}","{""0"": 345, ""1"": 19, ""2"": 1}","[0.956, 0.038, 0.005]","[0.945, 0.052, 0.003]"
13,1,13,"{""0"": 337, ""1"": 26, ""2"": 2}","{""0"": 345, ""1"": 19, ""2"": 1}","[0.923, 0.071, 0.005]","[0.945, 0.052, 0.003]"
14,1,14,"{""0"": 336, ""1"": 28, ""2"": 1}","{""0"": 344, ""1"": 20, ""2"": 1}","[0.921, 0.077, 0.003]","[0.942, 0.055, 0.003]"
15,1,15,"{""0"": 319, ""1"": 40, ""2"": 6}","{""0"": 333, ""1"": 31, ""3"": 1, ""2"": 0}","[0.874, 0.11, 0.016]","[0.912, 0.085, 0.0, 0.003]"
16,1,16,"{""0"": 308, ""1"": 52, ""2"": 5}","{""0"": 330, ""1"": 33, ""2"": 1, ""3"": 1}","[0.844, 0.142, 0.014]","[0.904, 0.09, 0.003, 0.003]"
17,1,17,"{""0"": 327, ""1"": 29, ""2"": 9}","{""0"": 335, ""1"": 28, ""2"": 2}","[0.896, 0.079, 0.025]","[0.918, 0.077, 0.005]"
18,1,18,"{""0"": 337, ""1"": 25, ""2"": 3}","{""0"": 344, ""1"": 19, ""2"": 2}","[0.923, 0.068, 0.008]","[0.942, 0.052, 0.005]"
19,1,19,"{""0"": 349, ""1"": 16}","{""0"": 349, ""1"": 16}","[0.956, 0.044]","[0.956, 0.044]"
20,1,20,"{""0"": 353, ""1"": 11, ""2"": 1}","{""0"": 342, ""1"": 22, ""2"": 1}","[0.967, 0.03, 0.003]","[0.937, 0.06, 0.003]"
21,1,21,"{""0"": 354, ""1"": 10, ""2"": 1}","{""0"": 344, ""1"": 19, ""2"": 2}","[0.97, 0.027, 0.003]","[0.942, 0.052, 0.005]"
22,1,22,"{""0"": 355, ""1"": 10}","{""0"": 348, ""1"": 17}","[0.973, 0.027]","[0.953, 0.047]"
