,Zone,Period,Pickup occurences,Delivery occurences
0,1,Morning,"{""0"": 342, ""1"": 17, ""2"": 6}","{""0"": 304, ""1"": 56, ""2"": 5}"
1,1,Day,"{""0"": 326, ""1"": 33, ""2"": 4, ""3"": 2}","{""0"": 321, ""1"": 40, ""2"": 4}"
2,1,Evening,"{""0"": 274, ""1"": 68, ""2"": 22, ""3"": 1}","{""0"": 294, ""1"": 63, ""2"": 6, ""3"": 1, ""4"": 1}"
3,2,Morning,"{""0"": 342, ""1"": 19, ""2"": 4}","{""0"": 335, ""1"": 28, ""2"": 2}"
4,2,Day,"{""0"": 324, ""1"": 35, ""2"": 5, ""3"": 1}","{""0"": 319, ""1"": 38, ""2"": 7, ""3"": 1}"
5,2,Evening,"{""0"": 295, ""1"": 59, ""2"": 10, ""3"": 1}","{""0"": 295, ""1"": 57, ""2"": 12, ""3"": 1}"
6,3,Morning,"{""0"": 335, ""1"": 28, ""2"": 1, ""3"": 1}","{""0"": 349, ""1"": 14, ""2"": 2}"
7,3,Day,"{""0"": 311, ""1"": 43, ""2"": 10, ""4"": 1}","{""0"": 294, ""1"": 50, ""2"": 11, ""3"": 8, ""4"": 1, ""7"": 1}"
8,3,Evening,"{""0"": 295, ""1"": 46, ""2"": 17, ""3"": 5, ""4"": 2}","{""0"": 279, ""1"": 71, ""2"": 12, ""3"": 2, ""4"": 1}"
9,4,Morning,"{""0"": 325, ""1"": 33, ""2"": 7}","{""0"": 303, ""1"": 57, ""2"": 5}"
10,4,Day,"{""0"": 299, ""1"": 54, ""2"": 9, ""3"": 2, ""4"": 1}","{""0"": 279, ""1"": 64, ""2"": 18, ""3"": 3, ""4"": 1}"
11,4,Evening,"{""0"": 260, ""1"": 71, ""2"": 23, ""3"": 7, ""4"": 4}","{""0"": 262, ""1"": 76, ""2"": 21, ""3"": 3, ""4"": 2, ""5"": 1}"
12,5,Morning,"{""0"": 333, ""1"": 29, ""2"": 3}","{""0"": 358, ""1"": 6, ""2"": 1}"
13,5,Day,"{""0"": 326, ""1"": 37, ""2"": 2}","{""0"": 335, ""1"": 28, ""2"": 2}"
14,5,Evening,"{""0"": 317, ""1"": 42, ""2"": 6}","{""0"": 314, ""1"": 49, ""2"": 2}"
15,6,Morning,"{""0"": 332, ""1"": 31, ""2"": 2}","{""0"": 350, ""1"": 14, ""2"": 1}"
16,6,Day,"{""0"": 341, ""1"": 22, ""2"": 2}","{""0"": 331, ""1"": 32, ""2"": 2}"
17,6,Evening,"{""0"": 311, ""1"": 52, ""2"": 2}","{""0"": 303, ""1"": 54, ""2"": 7, ""3"": 1}"
18,7,Morning,"{""0"": 327, ""1"": 36, ""2"": 2}","{""0"": 327, ""1"": 36, ""2"": 2}"
19,7,Day,"{""0"": 264, ""1"": 77, ""2"": 15, ""3"": 7, ""4"": 1, ""5"": 1}","{""0"": 260, ""1"": 65, ""2"": 22, ""3"": 9, ""4"": 3, ""5"": 2, ""6"": 2, ""7"": 1, ""8"": 1}"
20,7,Evening,"{""0"": 201, ""1"": 104, ""2"": 35, ""3"": 16, ""4"": 7, ""5"": 2}","{""0"": 185, ""1"": 121, ""2"": 43, ""3"": 13, ""4"": 3}"
21,8,Morning,"{""0"": 295, ""1"": 65, ""2"": 5}","{""0"": 341, ""1"": 24}"
22,8,Day,"{""0"": 292, ""1"": 56, ""2"": 14, ""3"": 2, ""5"": 1}","{""0"": 284, ""1"": 58, ""2"": 13, ""3"": 8, ""4"": 1, ""5"": 1}"
23,8,Evening,"{""0"": 233, ""1"": 80, ""2"": 37, ""3"": 13, ""4"": 1, ""7"": 1}","{""0"": 216, ""1"": 96, ""2"": 35, ""3"": 16, ""4"": 1, ""8"": 1}"
24,9,Morning,"{""0"": 329, ""1"": 31, ""2"": 5}","{""0"": 339, ""1"": 25, ""3"": 1}"
25,9,Day,"{""0"": 322, ""1"": 40, ""2"": 3}","{""0"": 330, ""1"": 31, ""2"": 3, ""3"": 1}"
26,9,Evening,"{""0"": 317, ""1"": 41, ""2"": 6, ""3"": 1}","{""0"": 289, ""1"": 67, ""2"": 7, ""3"": 1, ""4"": 1}"
27,10,Morning,"{""0"": 316, ""1"": 46, ""2"": 3}","{""0"": 355, ""1"": 9, ""2"": 1}"
28,10,Day,"{""0"": 305, ""1"": 53, ""2"": 7}","{""0"": 326, ""1"": 32, ""2"": 7}"
29,10,Evening,"{""0"": 271, ""1"": 79, ""2"": 13, ""3"": 2}","{""0"": 225, ""1"": 101, ""2"": 33, ""3"": 5, ""4"": 1}"
30,11,Morning,"{""0"": 328, ""1"": 30, ""2"": 6, ""3"": 1}","{""0"": 356, ""1"": 7, ""2"": 2}"
31,11,Day,"{""0"": 311, ""1"": 45, ""2"": 9}","{""0"": 324, ""1"": 37, ""2"": 4}"
32,11,Evening,"{""0"": 306, ""1"": 52, ""2"": 4, ""3"": 2, ""4"": 1}","{""0"": 291, ""1"": 55, ""2"": 14, ""3"": 4, ""4"": 1}"
33,12,Morning,"{""0"": 295, ""1"": 59, ""2"": 9, ""3"": 1, ""4"": 1}","{""0"": 346, ""1"": 19}"
34,12,Day,"{""0"": 327, ""1"": 34, ""2"": 4}","{""0"": 324, ""1"": 37, ""2"": 4}"
35,12,Evening,"{""0"": 265, ""1"": 64, ""2"": 29, ""3"": 7}","{""0"": 233, ""1"": 89, ""2"": 26, ""3"": 15, ""4"": 1, ""5"": 1}"
36,13,Morning,"{""0"": 302, ""1"": 53, ""2"": 9, ""3"": 1}","{""0"": 364, ""1"": 1}"
37,13,Day,"{""0"": 337, ""1"": 26, ""2"": 2}","{""0"": 327, ""1"": 34, ""2"": 4}"
38,13,Evening,"{""0"": 297, ""1"": 60, ""2"": 8}","{""0"": 245, ""1"": 95, ""2"": 20, ""3"": 5}"
39,14,Morning,"{""0"": 270, ""1"": 81, ""2"": 12, ""3"": 2}","{""0"": 333, ""1"": 32}"
40,14,Day,"{""0"": 300, ""1"": 60, ""2"": 5}","{""0"": 297, ""1"": 54, ""2"": 12, ""3"": 1, ""5"": 1}"
41,14,Evening,"{""0"": 238, ""1"": 92, ""2"": 27, ""3"": 6, ""4"": 2}","{""0"": 199, ""1"": 109, ""2"": 45, ""3"": 11, ""5"": 1}"
42,15,Morning,"{""0"": 293, ""1"": 53, ""2"": 14, ""3"": 5}","{""0"": 324, ""1"": 37, ""2"": 4}"
43,15,Day,"{""0"": 293, ""1"": 59, ""2"": 9, ""3"": 4}","{""0"": 298, ""1"": 53, ""2"": 10, ""3"": 3, ""5"": 1}"
44,15,Evening,"{""0"": 249, ""1"": 75, ""2"": 33, ""3"": 8}","{""0"": 236, ""1"": 83, ""2"": 29, ""3"": 13, ""4"": 3, ""5"": 1}"
45,16,Morning,"{""0"": 336, ""1"": 28, ""3"": 1}","{""0"": 362, ""1"": 2, ""2"": 1}"
46,16,Day,"{""0"": 360, ""1"": 4, ""2"": 1}","{""0"": 352, ""1"": 13}"
47,16,Evening,"{""0"": 336, ""1"": 27, ""2"": 2}","{""0"": 316, ""1"": 45, ""2"": 4}"
48,17,Morning,"{""0"": 314, ""1"": 51}","{""0"": 332, ""1"": 32, ""2"": 1}"
49,17,Day,"{""0"": 324, ""1"": 39, ""2"": 2}","{""0"": 320, ""1"": 39, ""2"": 5, ""3"": 1}"
50,17,Evening,"{""0"": 316, ""1"": 42, ""2"": 7}","{""0"": 292, ""1"": 64, ""2"": 9}"
51,18,Morning,"{""0"": 294, ""1"": 61, ""2"": 10}","{""0"": 330, ""1"": 35}"
52,18,Day,"{""0"": 289, ""1"": 63, ""2"": 13}","{""0"": 313, ""1"": 44, ""2"": 8}"
53,18,Evening,"{""0"": 264, ""1"": 79, ""2"": 14, ""3"": 7, ""4"": 1}","{""0"": 232, ""1"": 95, ""2"": 34, ""3"": 4}"
54,19,Morning,"{""0"": 345, ""1"": 20}","{""0"": 361, ""1"": 4}"
55,19,Day,"{""0"": 340, ""1"": 24, ""3"": 1}","{""0"": 336, ""1"": 27, ""2"": 2}"
56,19,Evening,"{""0"": 295, ""1"": 62, ""2"": 7, ""3"": 1}","{""0"": 285, ""1"": 67, ""2"": 12, ""3"": 1}"
57,20,Morning,"{""0"": 335, ""1"": 29, ""2"": 1}","{""0"": 338, ""1"": 27}"
58,20,Day,"{""0"": 337, ""1"": 28}","{""0"": 329, ""1"": 34, ""2"": 2}"
59,20,Evening,"{""0"": 305, ""1"": 51, ""2"": 9}","{""0"": 306, ""1"": 47, ""2"": 12}"
60,21,Morning,"{""0"": 330, ""1"": 29, ""2"": 5, ""3"": 1}","{""0"": 336, ""1"": 29}"
61,21,Day,"{""0"": 321, ""1"": 39, ""2"": 4, ""3"": 1}","{""0"": 337, ""1"": 24, ""2"": 3, ""3"": 1}"
62,21,Evening,"{""0"": 295, ""1"": 66, ""2"": 3, ""3"": 1}","{""0"": 294, ""1"": 53, ""2"": 16, ""3"": 2}"
63,22,Morning,"{""0"": 346, ""1"": 19}","{""0"": 354, ""1"": 10, ""2"": 1}"
64,22,Day,"{""0"": 338, ""1"": 23, ""2"": 3, ""3"": 1}","{""0"": 339, ""1"": 23, ""2"": 3}"
65,22,Evening,"{""0"": 337, ""1"": 25, ""2"": 3}","{""0"": 317, ""1"": 43, ""2"": 5}"
66,23,Morning,"{""0"": 318, ""1"": 40, ""2"": 5, ""3"": 2}","{""0"": 359, ""1"": 6}"
67,23,Day,"{""0"": 299, ""1"": 54, ""2"": 12}","{""0"": 309, ""1"": 50, ""2"": 6}"
68,23,Evening,"{""0"": 265, ""1"": 84, ""2"": 13, ""3"": 1, ""4"": 1, ""5"": 1}","{""0"": 237, ""1"": 92, ""2"": 28, ""3"": 6, ""5"": 1, ""6"": 1}"
69,24,Morning,"{""0"": 321, ""1"": 39, ""2"": 5}","{""0"": 350, ""1"": 14, ""2"": 1}"
70,24,Day,"{""0"": 317, ""1"": 40, ""2"": 5, ""3"": 3}","{""0"": 318, ""1"": 36, ""2"": 9, ""3"": 1, ""4"": 1}"
71,24,Evening,"{""0"": 319, ""1"": 34, ""2"": 12}","{""0"": 292, ""1"": 59, ""2"": 13, ""3"": 1}"
72,25,Morning,"{""0"": 352, ""1"": 13}","{""0"": 357, ""1"": 6, ""2"": 2}"
73,25,Day,"{""0"": 350, ""1"": 15}","{""0"": 340, ""1"": 25}"
74,25,Evening,"{""0"": 330, ""1"": 32, ""2"": 3}","{""0"": 317, ""1"": 47, ""2"": 1}"
75,26,Morning,"{""0"": 291, ""1"": 62, ""2"": 12}","{""0"": 349, ""1"": 16}"
76,26,Day,"{""0"": 315, ""1"": 42, ""2"": 6, ""3"": 2}","{""0"": 323, ""1"": 36, ""2"": 4, ""3"": 1, ""4"": 1}"
77,26,Evening,"{""0"": 273, ""1"": 78, ""2"": 13, ""5"": 1}","{""0"": 240, ""1"": 91, ""2"": 26, ""3"": 6, ""4"": 1, ""5"": 1}"
78,27,Morning,"{""0"": 336, ""1"": 28, ""2"": 1}","{""0"": 361, ""1"": 3, ""2"": 1}"
79,27,Day,"{""0"": 338, ""1"": 24, ""2"": 3}","{""0"": 331, ""1"": 32, ""2"": 2}"
80,27,Evening,"{""0"": 307, ""1"": 46, ""2"": 11, ""3"": 1}","{""0"": 293, ""1"": 65, ""2"": 7}"
81,28,Morning,"{""0"": 305, ""1"": 53, ""2"": 7}","{""0"": 348, ""1"": 17}"
82,28,Day,"{""0"": 305, ""1"": 54, ""2"": 6}","{""0"": 295, ""1"": 64, ""2"": 5, ""3"": 1}"
83,28,Evening,"{""0"": 269, ""1"": 74, ""2"": 19, ""3"": 3}","{""0"": 239, ""1"": 95, ""2"": 25, ""3"": 5, ""4"": 1}"
84,29,Morning,"{""0"": 245, ""1"": 94, ""2"": 21, ""3"": 4, ""4"": 1}","{""0"": 268, ""1"": 78, ""2"": 16, ""3"": 3}"
85,29,Day,"{""0"": 246, ""1"": 88, ""2"": 20, ""3"": 9, ""4"": 1, ""5"": 1}","{""0"": 260, ""1"": 71, ""2"": 25, ""3"": 7, ""4"": 2}"
86,29,Evening,"{""0"": 172, ""1"": 115, ""2"": 45, ""3"": 26, ""4"": 4, ""5"": 3}","{""0"": 169, ""1"": 121, ""2"": 47, ""3"": 19, ""4"": 8, ""5"": 1}"
87,30,Morning,"{""0"": 331, ""1"": 33, ""2"": 1}","{""0"": 264, ""1"": 73, ""2"": 27, ""3"": 1}"
88,30,Day,"{""0"": 297, ""1"": 55, ""2"": 12, ""3"": 1}","{""0"": 302, ""1"": 54, ""2"": 6, ""3"": 3}"
