,Zone,Period,Pickup occurences,Delivery occurences
0,1,0,"{""0"": 362, ""1"": 3}","{""0"": 362, ""1"": 3}"
1,1,1,"{""0"": 362, ""1"": 3}","{""0"": 360, ""1"": 4, ""2"": 1}"
2,1,2,"{""0"": 363, ""1"": 2}","{""0"": 361, ""1"": 3, ""2"": 1}"
3,1,3,"{""0"": 364, ""1"": 1}","{""0"": 364, ""1"": 1}"
4,1,4,"{""0"": 365}","{""0"": 364, ""1"": 1}"
5,1,5,"{""0"": 356, ""1"": 8, ""2"": 1}","{""0"": 362, ""1"": 3}"
6,1,6,"{""0"": 348, ""1"": 14, ""2"": 3}","{""0"": 346, ""1"": 19}"
7,1,7,"{""0"": 352, ""1"": 11, ""2"": 2}","{""0"": 324, ""1"": 40, ""2"": 1}"
8,1,8,"{""0"": 357, ""1"": 7, ""2"": 1}","{""0"": 322, ""1"": 39, ""2"": 4}"
9,1,9,"{""0"": 354, ""1"": 11}","{""0"": 336, ""1"": 25, ""2"": 4}"
10,1,10,"{""0"": 352, ""1"": 12, ""2"": 1}","{""0"": 349, ""1"": 15, ""2"": 1}"
11,1,11,"{""0"": 355, ""1"": 10}","{""0"": 350, ""1"": 14, ""2"": 1}"
12,1,12,"{""0"": 349, ""1"": 14, ""2"": 2}","{""0"": 345, ""1"": 19, ""2"": 1}"
13,1,13,"{""0"": 337, ""1"": 26, ""2"": 2}","{""0"": 345, ""1"": 19, ""2"": 1}"
14,1,14,"{""0"": 336, ""1"": 28, ""2"": 1}","{""0"": 344, ""1"": 20, ""2"": 1}"
15,1,15,"{""0"": 319, ""1"": 40, ""2"": 6}","{""0"": 333, ""1"": 31, ""3"": 1}"
16,1,16,"{""0"": 308, ""1"": 52, ""2"": 5}","{""0"": 330, ""1"": 33, ""2"": 1, ""3"": 1}"
17,1,17,"{""0"": 327, ""1"": 29, ""2"": 9}","{""0"": 335, ""1"": 28, ""2"": 2}"
18,1,18,"{""0"": 337, ""1"": 25, ""2"": 3}","{""0"": 344, ""1"": 19, ""2"": 2}"
19,1,19,"{""0"": 349, ""1"": 16}","{""0"": 349, ""1"": 16}"
20,1,20,"{""0"": 353, ""1"": 11, ""2"": 1}","{""0"": 342, ""1"": 22, ""2"": 1}"
21,1,21,"{""0"": 354, ""1"": 10, ""2"": 1}","{""0"": 344, ""1"": 19, ""2"": 2}"
22,1,22,"{""0"": 355, ""1"": 10}","{""0"": 348, ""1"": 17}"
23,1,23,"{""0"": 361, ""1"": 4}","{""0"": 356, ""1"": 9}"
24,2,0,"{""0"": 365}","{""0"": 360, ""1"": 5}"
25,2,1,"{""0"": 363, ""1"": 2}","{""0"": 362, ""1"": 3}"
26,2,2,"{""0"": 363, ""1"": 1, ""2"": 1}","{""0"": 363, ""1"": 1, ""2"": 1}"
27,2,3,"{""0"": 364, ""1"": 1}","{""0"": 363, ""1"": 2}"
28,2,4,"{""0"": 364, ""1"": 1}","{""0"": 365}"
29,2,5,"{""0"": 357, ""1"": 8}","{""0"": 347, ""1"": 17, ""2"": 1}"
30,2,6,"{""0"": 347, ""1"": 16, ""2"": 2}","{""0"": 343, ""1"": 21, ""2"": 1}"
31,2,7,"{""0"": 350, ""1"": 14, ""2"": 1}","{""0"": 356, ""1"": 9}"
32,2,8,"{""0"": 358, ""1"": 7}","{""0"": 357, ""1"": 7, ""2"": 1}"
33,2,9,"{""0"": 357, ""1"": 8}","{""0"": 360, ""1"": 4, ""2"": 1}"
34,2,10,"{""0"": 355, ""1"": 9, ""2"": 1}","{""0"": 356, ""1"": 9}"
35,2,11,"{""0"": 351, ""1"": 12, ""2"": 2}","{""0"": 352, ""1"": 12, ""2"": 1}"
36,2,12,"{""0"": 349, ""1"": 14, ""2"": 2}","{""0"": 337, ""1"": 26, ""2"": 2}"
37,2,13,"{""0"": 339, ""1"": 24, ""2"": 2}","{""0"": 332, ""1"": 28, ""2"": 4, ""3"": 1}"
38,2,14,"{""0"": 337, ""1"": 24, ""2"": 4}","{""0"": 344, ""1"": 17, ""2"": 3, ""3"": 1}"
39,2,15,"{""0"": 342, ""1"": 19, ""2"": 4}","{""0"": 343, ""1"": 20, ""2"": 2}"
40,2,16,"{""0"": 337, ""1"": 26, ""2"": 2}","{""0"": 337, ""1"": 23, ""2"": 5}"
41,2,17,"{""0"": 338, ""1"": 26, ""2"": 1}","{""0"": 332, ""1"": 29, ""2"": 4}"
42,2,18,"{""0"": 343, ""1"": 20, ""2"": 2}","{""0"": 338, ""1"": 25, ""2"": 2}"
43,2,19,"{""0"": 339, ""1"": 25, ""2"": 1}","{""0"": 343, ""1"": 21, ""2"": 1}"
44,2,20,"{""0"": 339, ""1"": 25, ""2"": 1}","{""0"": 349, ""1"": 15, ""2"": 1}"
45,2,21,"{""0"": 349, ""1"": 15, ""2"": 1}","{""0"": 357, ""1"": 7, ""2"": 1}"
46,2,22,"{""0"": 358, ""1"": 7}","{""0"": 359, ""1"": 6}"
47,2,23,"{""0"": 363, ""1"": 2}","{""0"": 363, ""1"": 2}"
48,3,0,"{""0"": 365}","{""0"": 363, ""1"": 2}"
49,3,1,"{""0"": 365}","{""0"": 365}"
50,3,2,"{""0"": 364, ""1"": 1}","{""0"": 365}"
51,3,3,"{""0"": 363, ""1"": 2}","{""0"": 365}"
52,3,4,"{""0"": 363, ""1"": 2}","{""0"": 365}"
53,3,5,"{""0"": 362, ""1"": 3}","{""0"": 364, ""1"": 1}"
54,3,6,"{""0"": 356, ""1"": 8, ""2"": 1}","{""0"": 357, ""1"": 8}"
55,3,7,"{""0"": 343, ""1"": 20, ""2"": 1, ""3"": 1}","{""0"": 356, ""1"": 9}"
56,3,8,"{""0"": 344, ""1"": 20, ""3"": 1}","{""0"": 357, ""1"": 6, ""2"": 2}"
57,3,9,"{""0"": 354, ""1"": 10, ""2"": 1}","{""0"": 349, ""1"": 13, ""2"": 3}"
58,3,10,"{""0"": 348, ""1"": 16, ""2"": 1}","{""0"": 346, ""1"": 14, ""2"": 5}"
59,3,11,"{""0"": 344, ""1"": 18, ""2"": 3}","{""0"": 340, ""1"": 18, ""2"": 4, ""3"": 3}"
60,3,12,"{""0"": 342, ""1"": 20, ""2"": 2, ""4"": 1}","{""0"": 327, ""1"": 27, ""2"": 9, ""3"": 1, ""5"": 1}"
61,3,13,"{""0"": 334, ""1"": 26, ""2"": 4, ""3"": 1}","{""0"": 318, ""1"": 37, ""2"": 6, ""3"": 4}"
62,3,14,"{""0"": 328, ""1"": 31, ""2"": 6}","{""0"": 325, ""1"": 33, ""2"": 6, ""3"": 1}"
