,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113
1,0,824,1281,283,644,830,1251,589,460,664,709,1067,1151,986,830,919,824,921,1067,1499,1472,1729,953,1016,1089,1083,1324,1925,1628,1789,1611,1511,1489,1137,1298,2232,2321,1633,1668,1667,1472,2343,1998,3124,3156,3322,3474,321,440,244,1028,280,355,424,1265,1265,2313,645,1622,1799,912,1132,969,1667,1770,1233,1979,2134,1341,1447,1693,2028,2348,1521,1729,1861,2701,1443,1464,1463,1664,2047,2495,2636,1723,1628,2758,1671,1681,2932,2398,2886,2981,2571,2448,2603,3058,2906,2995,2962,3220,2986,2603,2884,3239,3359,3303,2715,3364,3425,3360,3604,3612
2,896,0,451,775,238,381,579,1027,792,490,409,591,790,1691,1354,1109,682,649,768,1138,913,1369,1293,1206,946,940,933,1565,1242,1343,1800,1700,1679,1130,992,1756,1960,1386,1857,1693,1329,2328,1990,3314,2544,3511,3664,444,318,500,185,557,673,570,904,905,2894,815,1262,2504,973,1838,1468,1235,1226,1771,1414,1774,978,1086,1210,1463,1988,1159,1247,1378,2225,1436,1322,1158,1289,1565,2019,2159,1477,1323,2281,1552,1539,2273,2588,2409,2452,2761,2637,2792,3247,3095,2604,2486,3410,3176,2460,3073,3429,2941,2663,2573,3554,2784,3549,2964,2972
3,1304,534,0,1182,531,348,225,1434,1137,773,521,497,460,2036,1699,1453,965,703,850,787,652,1018,1638,1526,949,884,838,1213,981,991,2145,2045,1510,1133,1046,1405,1609,1133,2099,1696,1409,2331,1993,2868,2560,3139,3014,943,782,907,322,965,1202,882,467,553,2942,1112,911,2849,1395,2182,1813,884,875,2116,1063,1422,971,1029,1026,1112,1637,1090,1062,1194,1874,1438,1248,1222,1219,1436,1667,1808,1480,1390,1930,1632,1619,1945,2434,2058,2111,3021,2642,2493,2852,2647,2607,2135,2916,2685,2540,3185,2806,3020,2722,2652,2849,2780,2905,3040,3048
4,401,847,1402,0,667,881,1303,322,236,503,681,996,1202,718,562,544,502,693,968,1551,1117,1630,686,713,668,828,1070,1977,1374,1434,1307,1208,1186,834,1033,1877,2372,1379,1365,1364,1094,2040,1695,2821,2852,3018,3171,407,526,267,1038,212,208,399,1317,1317,2043,378,1674,1531,609,865,702,1312,1414,965,1623,2186,1087,1193,1338,1673,2400,1266,1374,1506,2346,1140,1155,1188,1410,1692,2140,2281,1419,1354,2403,1368,1304,2577,2095,2530,2626,2268,2144,2300,2754,2602,2692,2607,2917,2683,2767,2580,2936,3056,3000,2338,3061,3121,3057,3301,3309
5,994,485,805,872,0,297,719,1306,636,335,254,419,618,1536,1199,953,526,441,612,966,741,1197,1137,1050,791,785,657,1380,1070,1171,1645,1545,1523,975,784,1584,1778,1213,1702,1537,1174,2173,1835,2849,2389,3120,2995,579,584,598,522,655,773,453,732,733,2814,682,1077,2349,818,1682,1312,1063,1054,1616,1242,1313,742,906,1038,1291,1522,979,1075,1206,1730,1280,1166,950,1108,1393,1713,1840,1322,1115,1618,1397,1383,1587,2194,1809,1766,2606,2402,2278,2828,2507,2449,1945,2897,2862,2305,2918,2787,2785,2507,2417,2830,2629,2886,2808,2816
6,1491,830,764,1353,487,0,555,1707,961,598,338,297,439,1861,1524,1278,789,521,517,792,567,1022,1463,1351,767,702,638,1218,896,996,1970,1870,1327,951,864,1410,1614,1048,1949,1513,1227,2149,1811,2965,2442,3236,3089,1076,998,1048,690,1093,1027,707,558,558,2941,937,915,2674,1220,2007,1637,889,880,1941,1068,1427,806,835,941,1117,1642,909,977,1109,1879,1256,1065,1029,1038,1296,1672,1813,1298,1194,1759,1450,1437,1728,2591,1950,1907,2931,2799,2675,2670,2465,2425,2086,2770,2503,2358,3243,2903,2838,2560,2470,2946,2682,3002,2861,2869
7,1589,858,400,1420,722,408,0,1530,1196,833,580,306,447,1879,1759,1513,919,680,658,713,575,943,1697,1337,958,860,647,1139,905,917,2204,2105,1519,1142,1022,1330,1535,1057,2262,1705,1385,2341,2003,2954,2599,3225,3100,1062,1017,1192,646,1328,1262,942,393,479,3038,1172,836,2908,1210,2242,1872,810,801,2176,989,1348,814,844,950,1038,1562,918,986,1118,1799,1448,1223,1050,1047,1304,1593,1734,1489,1217,1856,1608,1436,1921,2520,1983,2079,2873,2728,2579,2862,2656,2617,2060,2961,2705,2516,2963,2892,2996,2718,2628,2935,2839,2991,3019,3027
8,736,1346,1517,351,937,1079,1501,0,277,666,862,1194,1400,405,249,231,521,784,1059,1576,1207,1721,373,490,687,840,1160,1983,1464,1524,803,889,868,773,1051,1968,2379,1469,1046,1046,1033,1721,1583,2503,2534,2700,2853,664,784,555,1153,470,452,585,1514,1515,1732,396,1872,1218,479,551,389,1402,1505,652,1714,2192,1091,1283,1428,1763,2407,1361,1465,1596,2437,1045,1174,1206,1476,1783,2231,2371,1101,1373,2493,1351,1243,2667,1777,2621,2717,1950,1826,1981,2436,2284,2374,2698,2599,2365,2449,2262,2618,2738,2682,2750,2743,2803,2738,2983,2990
9,914,1094,1416,597,685,827,1249,551,0,297,610,757,1018,854,686,488,348,487,762,1496,910,1423,673,585,515,622,863,1673,1167,1227,1180,1080,1058,707,837,1671,2069,1172,1237,1237,967,1912,1567,2647,2457,2891,2793,770,940,573,1146,586,471,332,1102,1262,2181,224,1371,1667,481,1000,847,1105,1208,1151,1417,1604,881,986,1131,1466,1813,1060,1167,1299,2021,1012,1002,1034,1203,1486,1933,2074,1292,1201,1896,1240,1177,1865,1882,2087,2044,2141,2017,1966,2516,2195,2565,2223,2695,2550,2612,2453,2585,2928,2619,2210,2628,2677,2684,2937,2945
10,1323,1094,1297,1055,685,708,1130,1179,515,0,332,695,956,1245,996,750,291,389,613,1308,939,1452,862,675,556,550,791,1715,1095,1256,1378,1278,1116,740,765,1700,2111,1100,1435,1303,939,1938,1600,2680,2154,2951,2802,908,988,927,1146,984,836,532,1143,1143,2660,388,1483,2146,549,1479,1109,1134,1237,1413,1446,1924,809,914,1160,1495,2139,988,1196,1328,2169,1045,932,930,1131,1515,1962,2103,1087,1096,2225,1162,1149,2311,2166,2353,2448,2339,2215,2265,2459,2254,2214,2430,2559,2292,2070,2651,2618,2550,2273,2182,2661,2394,2717,2574,2581
