,Zone,Lower Left,Upper Right,Center
0,1,"[10.79377655, 59.96421346153846]","[10.802510575000001, 59.96875023076923]","[10.798143562500002, 59.96648184615385]"
1,2,"[10.785042525, 59.96421346153846]","[10.79377655, 59.96875023076923]","[10.7894095375, 59.96648184615385]"
2,3,"[10.776308499999999, 59.96421346153846]","[10.785042525, 59.96875023076923]","[10.7806755125, 59.96648184615385]"
3,4,"[10.767574475, 59.96421346153846]","[10.7763085, 59.96875023076923]","[10.771941487500001, 59.96648184615385]"
4,5,"[10.75884045, 59.96421346153846]","[10.767574475, 59.96875023076923]","[10.763207462499999, 59.96648184615385]"
5,6,"[10.750106425, 59.96421346153846]","[10.758840450000001, 59.96875023076923]","[10.7544734375, 59.96648184615385]"
6,7,"[10.732638375, 59.96421346153846]","[10.741372400000001, 59.96875023076923]","[10.737005387500002, 59.96648184615385]"
7,8,"[10.72390435, 59.96421346153846]","[10.732638375, 59.96875023076923]","[10.7282713625, 59.96648184615385]"
8,9,"[10.79377655, 59.95967669230769]","[10.802510575000001, 59.964213461538456]","[10.798143562500002, 59.96194507692307]"
9,10,"[10.785042525, 59.95967669230769]","[10.79377655, 59.964213461538456]","[10.7894095375, 59.96194507692307]"
10,11,"[10.776308499999999, 59.95967669230769]","[10.785042525, 59.964213461538456]","[10.7806755125, 59.96194507692307]"
11,12,"[10.75884045, 59.95967669230769]","[10.767574475, 59.964213461538456]","[10.763207462499999, 59.96194507692307]"
12,13,"[10.750106425, 59.95967669230769]","[10.758840450000001, 59.964213461538456]","[10.7544734375, 59.96194507692307]"
13,14,"[10.7413724, 59.95967669230769]","[10.750106425, 59.964213461538456]","[10.7457394125, 59.96194507692307]"
14,15,"[10.732638375, 59.95967669230769]","[10.741372400000001, 59.964213461538456]","[10.737005387500002, 59.96194507692307]"
15,16,"[10.72390435, 59.95967669230769]","[10.732638375, 59.964213461538456]","[10.7282713625, 59.96194507692307]"
16,17,"[10.79377655, 59.95513992307692]","[10.802510575000001, 59.95967669230769]","[10.798143562500002, 59.957408307692305]"
17,18,"[10.785042525, 59.95513992307692]","[10.79377655, 59.95967669230769]","[10.7894095375, 59.957408307692305]"
18,19,"[10.776308499999999, 59.95513992307692]","[10.785042525, 59.95967669230769]","[10.7806755125, 59.957408307692305]"
19,20,"[10.75884045, 59.95513992307692]","[10.767574475, 59.95967669230769]","[10.763207462499999, 59.957408307692305]"
20,21,"[10.750106425, 59.95513992307692]","[10.758840450000001, 59.95967669230769]","[10.7544734375, 59.957408307692305]"
21,22,"[10.7413724, 59.95513992307692]","[10.750106425, 59.95967669230769]","[10.7457394125, 59.957408307692305]"
22,23,"[10.732638375, 59.95513992307692]","[10.741372400000001, 59.95967669230769]","[10.737005387500002, 59.957408307692305]"
23,24,"[10.72390435, 59.95513992307692]","[10.732638375, 59.95967669230769]","[10.7282713625, 59.957408307692305]"
24,25,"[10.715170324999999, 59.95513992307692]","[10.72390435, 59.95967669230769]","[10.7195373375, 59.957408307692305]"
25,26,"[10.79377655, 59.95060315384615]","[10.802510575000001, 59.95513992307692]","[10.798143562500002, 59.95287153846154]"
26,27,"[10.785042525, 59.95060315384615]","[10.79377655, 59.95513992307692]","[10.7894095375, 59.95287153846154]"
27,28,"[10.776308499999999, 59.95060315384615]","[10.785042525, 59.95513992307692]","[10.7806755125, 59.95287153846154]"
28,29,"[10.767574475, 59.95060315384615]","[10.7763085, 59.95513992307692]","[10.771941487500001, 59.95287153846154]"
29,30,"[10.75884045, 59.95060315384615]","[10.767574475, 59.95513992307692]","[10.763207462499999, 59.95287153846154]"
30,31,"[10.750106425, 59.95060315384615]","[10.758840450000001, 59.95513992307692]","[10.7544734375, 59.95287153846154]"
31,32,"[10.7413724, 59.95060315384615]","[10.750106425, 59.95513992307692]","[10.7457394125, 59.95287153846154]"
32,33,"[10.732638375, 59.95060315384615]","[10.741372400000001, 59.95513992307692]","[10.737005387500002, 59.95287153846154]"
33,34,"[10.72390435, 59.95060315384615]","[10.732638375, 59.95513992307692]","[10.7282713625, 59.95287153846154]"
34,35,"[10.715170324999999, 59.95060315384615]","[10.72390435, 59.95513992307692]","[10.7195373375, 59.95287153846154]"
35,36,"[10.802510575, 59.946066384615385]","[10.8112446, 59.95060315384615]","[10.8068775875, 59.94833476923077]"
36,37,"[10.79377655, 59.946066384615385]","[10.802510575000001, 59.95060315384615]","[10.798143562500002, 59.94833476923077]"
37,38,"[10.785042525, 59.946066384615385]","[10.79377655, 59.95060315384615]","[10.7894095375, 59.94833476923077]"
38,39,"[10.776308499999999, 59.946066384615385]","[10.785042525, 59.95060315384615]","[10.7806755125, 59.94833476923077]"
39,40,"[10.767574475, 59.946066384615385]","[10.7763085, 59.95060315384615]","[10.771941487500001, 59.94833476923077]"
40,41,"[10.75884045, 59.946066384615385]","[10.767574475, 59.95060315384615]","[10.763207462499999, 59.94833476923077]"
41,42,"[10.750106425, 59.946066384615385]","[10.758840450000001, 59.95060315384615]","[10.7544734375, 59.94833476923077]"
42,43,"[10.7413724, 59.946066384615385]","[10.750106425, 59.95060315384615]","[10.7457394125, 59.94833476923077]"
43,44,"[10.732638375, 59.946066384615385]","[10.741372400000001, 59.95060315384615]","[10.737005387500002, 59.94833476923077]"
44,45,"[10.72390435, 59.946066384615385]","[10.732638375, 59.95060315384615]","[10.7282713625, 59.94833476923077]"
45,46,"[10.7064363, 59.946066384615385]","[10.715170325, 59.95060315384615]","[10.710803312500001, 59.94833476923077]"
46,47,"[10.802510575, 59.94152961538462]","[10.8112446, 59.946066384615385]","[10.8068775875, 59.943798]"
47,48,"[10.79377655, 59.94152961538462]","[10.802510575000001, 59.946066384615385]","[10.798143562500002, 59.943798]"
48,49,"[10.785042525, 59.94152961538462]","[10.79377655, 59.946066384615385]","[10.7894095375, 59.943798]"
49,50,"[10.776308499999999, 59.94152961538462]","[10.785042525, 59.946066384615385]","[10.7806755125, 59.943798]"
50,51,"[10.767574475, 59.94152961538462]","[10.7763085, 59.946066384615385]","[10.771941487500001, 59.943798]"
51,52,"[10.75884045, 59.94152961538462]","[10.767574475, 59.946066384615385]","[10.763207462499999, 59.943798]"
52,53,"[10.750106425, 59.94152961538462]","[10.758840450000001, 59.946066384615385]","[10.7544734375, 59.943798]"
53,54,"[10.7413724, 59.94152961538462]","[10.750106425, 59.946066384615385]","[10.7457394125, 59.943798]"
