,Zone,Lower_left,Upper_right,Center,Super_center,Super_center_nr
0,1,"[10.793777, 59.964213]","[10.802511, 59.96875]","[10.798144, 59.966482]","[10.793777, 59.964213]",1.0
1,2,"[10.785043, 59.964213]","[10.793777, 59.96875]","[10.78941, 59.966482]","[10.793777, 59.964213]",1.0
2,3,"[10.776308, 59.964213]","[10.785043, 59.96875]","[10.780676, 59.966482]","[10.780676, 59.966482]",48.0
3,4,"[10.767574, 59.964213]","[10.776309, 59.96875]","[10.771941, 59.966482]","[10.771941, 59.966482]",49.0
4,5,"[10.75884, 59.964213]","[10.767574, 59.96875]","[10.763207, 59.966482]","[10.75884, 59.964213]",2.0
5,6,"[10.750106, 59.964213]","[10.75884, 59.96875]","[10.754473, 59.966482]","[10.75884, 59.964213]",2.0
6,7,"[10.732638, 59.964213]","[10.741372, 59.96875]","[10.737005, 59.966482]","[10.732638, 59.964213]",3.0
7,8,"[10.723904, 59.964213]","[10.732638, 59.96875]","[10.728271, 59.966482]","[10.732638, 59.964213]",3.0
8,9,"[10.793777, 59.959677]","[10.802511, 59.964213]","[10.798144, 59.961945]","[10.793777, 59.964213]",1.0
9,10,"[10.785043, 59.959677]","[10.793777, 59.964213]","[10.78941, 59.961945]","[10.793777, 59.964213]",1.0
10,11,"[10.776308, 59.959677]","[10.785043, 59.964213]","[10.780676, 59.961945]","[10.780676, 59.961945]",50.0
11,12,"[10.75884, 59.959677]","[10.767574, 59.964213]","[10.763207, 59.961945]","[10.75884, 59.964213]",2.0
12,13,"[10.750106, 59.959677]","[10.75884, 59.964213]","[10.754473, 59.961945]","[10.75884, 59.964213]",2.0
13,14,"[10.741372, 59.959677]","[10.750106, 59.964213]","[10.745739, 59.961945]","[10.745739, 59.961945]",51.0
14,15,"[10.732638, 59.959677]","[10.741372, 59.964213]","[10.737005, 59.961945]","[10.732638, 59.964213]",3.0
15,16,"[10.723904, 59.959677]","[10.732638, 59.964213]","[10.728271, 59.961945]","[10.732638, 59.964213]",3.0
16,17,"[10.793777, 59.95514]","[10.802511, 59.959677]","[10.798144, 59.957408]","[10.793777, 59.95514]",4.0
17,18,"[10.785043, 59.95514]","[10.793777, 59.959677]","[10.78941, 59.957408]","[10.793777, 59.95514]",4.0
18,19,"[10.776308, 59.95514]","[10.785043, 59.959677]","[10.780676, 59.957408]","[10.780676, 59.957408]",52.0
19,20,"[10.75884, 59.95514]","[10.767574, 59.959677]","[10.763207, 59.957408]","[10.75884, 59.95514]",5.0
20,21,"[10.750106, 59.95514]","[10.75884, 59.959677]","[10.754473, 59.957408]","[10.75884, 59.95514]",5.0
21,22,"[10.741372, 59.95514]","[10.750106, 59.959677]","[10.745739, 59.957408]","[10.741372, 59.95514]",6.0
22,23,"[10.732638, 59.95514]","[10.741372, 59.959677]","[10.737005, 59.957408]","[10.741372, 59.95514]",6.0
23,24,"[10.723904, 59.95514]","[10.732638, 59.959677]","[10.728271, 59.957408]","[10.723904, 59.95514]",7.0
